idGame;d1/d2;d2/d3;d3/d4;d4/d5;d5/d6;d6/d7;d7/d8;d8/d9;d9/d10;d10/d11;d11/d12;d12/d3;d13/d14;d14/d15;d15/d16;d16/d17;d17/d18;d18/d19;d19/d20
1653;683501;144255;563048;880475;544426;196435;224646;102958;23002;15724;13783;6045;3810;7115;6920;4645;3718;2248;2125
1654;568239;221382;305208;420604;210879;152983;66223;85211;25444;13286;3998;4803;4967;4423;2885;2545;2157;2436;3057
1655;751576;247056;459989;783087;273773;499258;71056;592908;50508;23869;32713;27689;11535;12414;10461;11914;6447;5322;7151
6775;1813177;1255210;256655;1017910;624362;1158006;638067;37632;18526;16759;8459;6560;4142;5375;4918;6791;3877;3726;4090
1656;5942049;2734447;368134;795415;811417;1420456;738404;70323;39267;22801;16239;16328;11343;11810;8011;7673;8451;3977;5914
6776;1343168;212066;476375;1398522;474141;576676;372192;159787;389476;318619;164945;224665;341844;17459347;1788977;11229999;70556;2120137;6056
1657;1219869;869865;416304;784341;1120613;788393;163911;148867;80647;63115;28621;29943;28561;21630;10332;38173;8950;6672;4700
1659;1693268;576921;2170988;1599823;3366468;2631397;425364;159302;128210;87817;73019;71644;37836;52047;41656;36497;32690;20879;16241
6786;103731;84811;170912;375307;74612;98518;18770;13677;9629;4990;11284;9341;3629;2949;3510;2280;2254;2579;2701
1671;3113557;387851;1091465;865825;1098830;415243;1138739;68116;473752;43135;26215;24443;7973;32145;28917;7576;8548;7397;18849
1672;344208;198239;248958;368424;328211;230841;502057;343202;25102;17963;18316;8296;10864;8053;5336;7600;8312;6794;5124
1673;1183138;188536;279983;1311557;604847;939630;366436;82616;60306;49970;52296;60993;21371;18623;16892;17439;18127;23830;16212
1674;594793;242866;305984;568627;492219;267753;499676;31134;17466;13680;6869;8153;5683;5117;2750;2957;3107;1662;2736
1675;702833;121246;744120;516467;561825;148700;56773;64280;41817;26915;19293;16035;8224;5682;3692;3395;5091;4255;3187
1676;527281;453385;1202828;593293;1569569;660931;72976;67966;43175;22672;15745;20423;20284;16275;13663;11915;28619;9795;4630
1677;3424690;990030;1756942;3221557;2537721;1100332;1651659;644763;244081;84280;38496;31824;41814;23132;16511;27216;28066;15919;11312
1678;1482528;1231349;1136250;1292398;2697294;743884;561289;671541;92472;88157;92654;77906;90985;31336;32824;21285;54272;24963;17710
6798;2327462;510224;836429;2011084;785989;589143;70935;47532;77078;31526;39316;23112;21993;9067;9642;13031;12360;10493;6798
1679;935819;374344;336298;497137;732622;511256;306964;83708;92188;151708;92260;15888;26156;50634;25627;12700;4830;7197;8319
6799;1137543;619511;443734;821066;652303;888309;279470;352804;226664;88343;105878;74997;89538;39030;35643;34638;19854;15074;25847
1680;575890;128385;388985;259959;396100;73468;38790;49589;21191;8826;10124;7885;6952;6975;4488;4256;5315;3098;2549
1681;3509507;1527540;855937;2123543;1406071;957365;764577;152121;71165;47982;26260;26571;41790;23848;16284;21096;13309;12367;18145
6801;2718976;341728;1311923;1213531;2243699;1508576;1062302;1292466;90396;54711;38960;30794;18159;17020;26992;16484;9076;7444;6217
1682;946067;390159;843943;578412;2460551;418436;1247658;143718;98359;23158;13946;25813;5076;7173;10650;5921;14924;3095;2427
6802;1523836;152836;144019;583476;254553;141187;133349;83271;66874;21986;45533;16093;31211;22031;23217;17338;11651;16121;4835
1684;5803270;503141;961324;1972817;5096511;2061594;808658;460008;413557;73789;53292;39970;19007;31574;25300;28342;15197;11692;8907
1685;1178475;378079;1038531;1227928;818328;279499;73072;34050;27965;21731;13393;10479;9108;6343;6914;6930;4640;2546;3372
1696;3034197;522902;1861714;2131702;2069409;1179484;426515;75691;23685;25801;9079;6685;7085;7387;4129;4014;3480;2250;2323
1697;1038490;736347;392950;493315;726675;424697;691258;197123;88073;59424;31318;66389;32632;11464;24737;8756;46923;49954;30127
1698;2369839;163166;1270668;1958337;1066271;417877;937993;105891;36277;11347;11142;11082;5829;5162;6995;4152;3521;5067;3375
1699;1192955;977109;820216;1226886;681565;311163;257223;99094;64415;39121;37410;21964;20791;17355;19799;10208;11620;11793;7483
1700;3468384;901837;1043282;2674078;1259157;243736;287406;86657;59110;37848;21900;15737;10976;14870;30934;9387;6257;7642;6020
1701;3470079;1224384;1572894;2066086;2229782;2005964;2953566;664842;223720;146281;104039;345852;212478;120607;76334;108224;250220;37099;173242
1702;1206092;306599;367108;1193889;270856;386725;237928;68151;18040;16533;9042;6777;8711;5003;6478;5299;5136;4685;3892
1703;594913;38746;632002;604911;354158;626425;177098;19408;21304;10399;7034;4315;4480;3446;3500;2138;3449;3102;1631
6823;1900437;728707;887358;734538;1252513;1266116;464072;118238;87427;57380;44624;33845;24143;14878;15186;13471;14010;6318;11002
1704;680709;179815;220225;443505;313866;43784;62363;82594;17167;13956;9055;7128;4162;3986;3419;2334;2493;2346;2239
6824;483455;216775;419075;614948;243946;113323;128525;90271;80799;91375;32503;25140;42157;26581;31050;27303;19999;24543;18880
1705;688356;675497;962062;1919831;1418802;662495;369528;454204;172286;62277;38294;24071;28522;23505;20568;13253;11256;12340;8860
6825;2331884;835569;1457648;989373;887266;422074;139646;74368;41543;22953;15235;12578;15061;6597;9162;8940;5804;3130;5708
1706;728385;240339;959505;1024827;858866;475643;291699;86142;66293;38907;27718;26121;21118;16517;9867;17774;12165;7843;17671
1707;510735;142271;343066;381050;422148;212886;43794;152432;48993;14477;8998;10431;12251;6506;6400;4761;5719;4012;5827
1708;862784;332929;391993;912703;556185;596033;143408;52084;29859;13237;6846;8867;8209;6783;3763;4801;3796;3079;2565
1709;1400548;1345923;472533;835115;2055638;672934;825658;96043;41464;31414;25982;11794;10910;13227;8642;7341;4709;61829;5444
3764;2400449;235050;1425105;2232922;1582952;2108661;398562;218413;78826;55129;23454;27265;19960;20385;15441;23417;29514;17190;17203
6848;227756;303434;43857;163876;29315;31082;11911;9763;2399;2346;2419;2155;1596;1232;2284;1847;785;499;592
6849;2731663;242259;1718585;935286;2438246;2944768;808811;238900;175251;58419;39887;29594;28229;54921;101841;338949;143664;66755;28036
6850;1139891;607169;484403;1154909;386222;772262;704502;561105;49220;75739;39814;56288;19974;16133;8438;5486;5182;5576;6562
6851;4146736;306780;1185940;722771;1780191;2419077;1158047;834421;102821;48826;59465;44942;18649;24633;35216;22223;32633;28012;52798
6852;1970324;935128;450810;738621;1531924;1395687;325367;114028;98333;81618;33506;18049;24101;34243;8756;18300;14193;9824;4814
6853;1228511;413347;373165;625166;194037;168331;222841;382464;108468;64263;33003;20964;47575;24484;23856;17159;7456;12470;5795
8914;1622059;631107;827607;1269459;399411;142903;497674;133920;234569;66455;133385;203946;19987;34185;29213;23918;17685;26653;17455
8915;2409176;623237;1433322;2548696;622723;604041;844627;96937;58272;27710;43575;28477;21631;23705;32863;14305;12661;7802;11799
4825;402875;178805;54859;134719;105733;430778;31825;10671;14025;5458;1992;2824;2290;3107;4287;1793;3397;1744;2876
6873;2499575;15241051;13368857;1949140;2090031;1202367;1338413;1675550;1153438;294232;228587;154507;178836;1042418;3215005;10798726;6846609;3210011;19977689
6874;2425282;618576;1414008;1506999;2427179;1270501;942183;503244;87701;188372;720410;944605;6601047;6261594;1280316;887618;2301154;3729866;9425801
6875;2085135;535030;502132;538124;571526;747878;1122683;297615;45433;25769;14105;29414;14775;12961;7161;8157;6798;5771;4669
6876;900833;1029567;744784;1113715;1740919;1157387;295319;167545;99985;59003;51112;45089;76388;52329;35961;29325;43429;75460;81862
8924;1042573;950712;401223;954864;288842;97581;50472;14998;7031;4628;4048;3599;3543;2882;2813;1406;1484;1431;1226
6881;1651954;796383;476605;606044;209732;119836;97613;73228;37813;27303;28825;15961;8755;15971;6470;8292;5872;6690;8041
8944;1640821;455964;1193704;1863956;693364;759099;108790;41021;33388;16928;25208;15858;13740;9907;65679;28397;11774;21544;102373
1777;1773381;208832;1940855;1564027;1899951;1011730;979472;151390;60830;25097;34825;22194;17648;16721;14909;12542;8403;8167;7057
1778;1483264;297041;420670;778938;1222736;696482;613415;301897;64424;156748;78652;89130;58335;120238;40792;66896;72318;16052;71450
6898;1192518;286167;392926;1025966;939095;842616;873929;362548;128427;50873;34507;45131;32854;20174;26756;100129;25494;64490;17664
1779;2960881;699584;1386607;1725766;1484928;1606470;568149;11279270;13537714;128231;148553;41115;215982;106728;8769081;14798;9169;1032012;963989
6899;2027683;413365;918847;1312706;1231061;2656845;1602026;1356710;64835;164889;128352;106174;81752;2227748;843978;26141;1572609;49609;4359023
756;224030;51614;133339;79370;4573;62171;37710;3866;1796;1402;2165;1346;1240;2043;464;575;517;740;655
1780;1038967;700151;171402;1032197;281379;817299;252990;170411;62910;89978;21446;61353;368874;441710;82265;645278;1449955;4804889;359249
6900;1072700;60316;464271;478238;990325;175914;493258;393696;73958;17871;18353;15113;9805;5942;5683;11085;10024;3061;3106
1781;19472513;122219;19118627;998297;472952;206856;175175;121695;35570;20196;23587;20866;14153;9367;8912;9823;3672;4950;3935
1782;1599527;983084;633429;1024184;1476309;390510;130132;87642;63827;22085;22170;14906;12604;19750;20077;16286;16625;14123;31593
1783;3150315;1478538;1334670;2050443;614886;1082371;528871;610708;115596;64240;40989;45089;56358;101950;33710;34241;49755;29646;14250
6903;666014;345595;573290;717017;938584;934310;374276;721895;826115;1644117;423361;6890241;15664123;15869488;785913;12210874;1009786;32050;17559
1784;3834104;1940988;1914606;1529887;1705850;878572;312206;206109;171532;56634;34655;33992;23718;19349;17279;18801;18063;13248;22544
1785;3375444;1710478;767015;566355;1316096;1241389;90072;14773575;638554;51794017;302438;11903049;19426720;948693;116466;83116;2223382;1301983;8783635
1786;3013591;204479;463092;1538058;1237691;1318042;425101;666604;60763;42941;52317;14118;16079;9240;8151;5798;5049;3900;10510
1787;194572;57513;926485;298797;738833;435429;197942;217748;11834;8888;6689;5195;3451;5986;2447;2260;2534;1652;2290
1788;1258477;371843;629057;1328496;438945;549432;75326;46069;48945;39347;18087;46861;26604;29006;19814;52301;44106;20766;254252
1789;2444486;504805;1462399;3110327;1116653;1013010;902526;224764;48568;31459;29286;20878;14567;14247;9505;9961;7386;5239;6428
1790;1931006;450777;325824;1677714;456076;363135;525814;381683;29341;16602;9375;7701;5125;5567;4562;6418;3769;3391;3098
1791;2324251;759200;1319295;1933911;1180905;1121657;819085;879762;896308;10686585;1585260;1952479;18318919;74255;948686;8209619;74657;116277;4245794
1792;2523019;200024;387629;1326981;763898;589403;101630;189412;52503;38747;40399;24981;13516;23648;40329;32679;52641;54906;88183
1793;2283500;308775;1043256;771396;243472;176123;160835;49565;34896;23864;9794;11886;9911;9589;9142;8287;8123;5943;5820
1795;4344347;1962681;4545589;3698433;1052709;485181;403465;234719;55207;32074;37305;16654;15895;12280;14804;11111;8132;8366;5495
1797;274221;193530;471897;479798;274608;195950;267132;51494;17746;10213;6487;8158;5309;3555;2085;3102;3225;2550;4152
1798;548548;558971;496629;1149064;340532;321711;308114;42739;29844;26324;17116;12897;10729;7475;5648;9602;5798;6451;6803
1800;172041;24209;416261;260812;68228;236460;73662;6508;3772;4705;4146;2073;1444;2745;1099;916;1068;705;743
1802;916602;554304;584017;393516;557152;231722;108062;166842;52069;37704;40299;16979;8327;6209;8588;9069;30685;9269;5973
1803;545173;1749411;1000486;984451;684095;677852;1982104;803936;442642;59577;19213;234943;23213;86865;14006;38479;12497;8433;6836
1806;2609401;1512186;650144;1113721;1392486;697044;973434;131399;154387;84947;372454;28049;71894;22352;18407;22914;25312;13968;11073
4878;1284684;1373866;76512;368641;302488;355913;284944;147550;43680;16341;16912;18028;9195;17610;11047;7956;11053;11808;5830
1807;2311842;556287;780015;932749;874745;106096;476082;562367;87810;29869;44106;10105;15947;13173;10873;8541;7475;5564;4828
4879;440378;71193;57118;152017;24997;666300;6144;14986;1586;2367;3335;3313;3222;2354;1339;1330;2933;715;677
1808;544878;163177;248178;420308;298291;171177;77081;25866;10287;5615;4514;4482;2812;2478;1816;2783;1755;1383;1735
1809;4058261;2117795;1438641;1818149;892680;654380;347499;107887;95243;17285;16210;14216;12827;11652;8637;12389;6269;5003;4246
786;3355017;1869086;1707552;1384663;1560303;730893;371607;249577;123615;89446;67364;34354;38809;21458;42470;29627;22752;24884;9107
1810;755550;154595;146063;739799;188831;71202;201771;74841;40026;50130;25172;43144;74943;32691;32707;31759;20186;17963;11571
1811;1252760;97504;915735;605757;1190061;1330637;346479;140061;114780;67893;14967;9295;9779;8379;8744;8245;7016;11399;8030
1812;451604;54724;356259;542977;325716;291940;379304;172801;40004;61767;16938;7122;10124;8801;7396;3461;6157;4186;3423
1813;1145024;490446;1268238;506029;962029;601223;373840;760881;746529;54636;17987;434762;1048713;11671910;3942710;20785565;100548;1120970;5359
1814;911578;584732;468413;789166;77700;74169;69924;61108;50784;16232;14676;8223;8266;5221;3968;4828;4484;4265;2656
1815;2907516;1050184;1249536;1313905;911778;1377483;175816;446267;376633;34959687;568082;1042531;1192331;349571;190382;184406;3825982;496370;121834
1816;4277084;1144993;1307559;2098322;1561561;987833;291626;78193;33639;26571;18954;14302;10869;12323;7084;6732;6845;5863;5690
3867;2831037;156142;695801;1361821;1355651;1599928;424732;353072;46352;244915;26135;33840;19057;16103;25934;50275;36928;96472;114731
797;1286799;154965;598688;673662;1101437;919181;348662;163718;357599;28811;37148;23039;12230;7511;10667;6159;4627;4756;6957
3871;1161376;1341066;873755;1587548;1617758;1635225;240421;239146;60189;34379;11961;18269;15087;7470;10914;5945;9341;4578;4890
4898;206097;126515;6084;80813;34591;6769;2630;3731;4096;1235;1249;1077;656;777;857;353;674;870;333
3875;870947;829753;372084;580739;369122;147731;176699;104864;137777;68177;39185;330118;15577;57097;52398;64282;5918100;102044;58902
3877;3406202;761264;1034305;789368;831433;1202932;893905;323311;85216;37604;37014;53882;29294;17227;24285;24539;22748;707687;616962
3880;822056;658108;197194;201209;268437;11024;244607;52509;36576;9321;6872;4518;11887;5812;1202;2083;5318;3566;7917
4918;408610;374681;294158;239716;215511;288529;51120;88068;51965;9910;20576;11287;9082;10183;7318;5714;5550;2770;4669
4919;1696524;595406;1594288;1813861;2243710;2148669;116852;430395;104038;149605;289516;14196954;8525064;9021900;1197612;3943526;96090;1649140;8336513
4920;1166046;326947;615012;746432;564881;303978;314449;66052;35610;28103;22201;12555;11666;8799;7664;5628;6988;5747;8427
9031;633810;176059;733842;620459;131049;316019;101344;37526;23611;14750;15754;10300;10026;5675;5712;5800;5409;4518;3815
1864;1075871;197208;110176;211615;451466;150778;475915;21253;12125;9693;4356;4665;5314;3118;2110;2514;1581;1758;2097
9032;2060604;974690;1489857;1309480;1170280;1747380;504395;108116;94491;61880;32566;91074;380178;109347;138125;69629;226558;203275;75101
9033;416581;106262;183582;499760;481820;353037;665160;27445;32230;22299;6713;7111;6527;3504;2460;5374;2187;1932;1766
1872;2668936;707456;992980;682693;802625;1206074;846344;151212;67896;38994;28263;17554;8307;8080;9329;6384;5461;6365;6584
1880;682442;164957;708418;571108;540586;1005739;187035;76874;57530;22152;37012;54028;18991;22986;9855;7703;30749;16443;3589
1881;338690;401069;113591;1770271;400177;322699;59276;737975;10987;11363;3973;3617;5875;4615;3765;1679;2145;1718;1607
1882;101397;52416;104199;320448;404469;538765;341457;68890;15248;15076;12539;6352;3507;4869;2843;3043;2827;2606;1199
1883;311280;108788;114898;486511;75242;42531;12682;18237;8852;5180;3132;2187;2367;1359;3252;1760;1322;1063;1424
9051;994539;446954;460113;919536;672275;968039;286965;133556;35249;35753;28417;20917;20317;13846;14206;15684;9087;8096;9782
1884;22324826;34511813;15772421;1172534;1054942;642902;171395;50823;27726;15155;13008;12139;17588;11818;9666;34040;10054;15811;10265
1885;2197820;354790;379732;960376;889356;1287959;641058;810923;69533;107949;20003;21062;20380;13741;12436;7759;7537;5896;3475
1886;538702;36856;289322;596413;495720;751201;64945;118895;77601;28463;13397;8512;14825;9545;4419;7388;6344;2556;4023
7006;65026;47039;34605;238634;1341382;1274230;28529;26066;15053;9956;10813;11148;4456;4684;3215;3298;3283;3596;1857
1887;724426;579190;432864;494995;287484;308952;139866;99964;47571;54293;28370;43661;16369;27031;20317;14579;15415;13580;8231
1888;1045051;42540;218414;121873;443291;1010630;121201;65265;24297;16966;16490;5625;6089;5618;4542;5711;6725;4230;3955
1889;1182590;532787;200929;576860;425879;1075626;462643;180808;92913;214582;31836;19889;5326;11915;6321;3592;3376;3979;1344
1890;772065;342653;71496;426319;72040;27553;13833;22890;8060;7427;8919;3348;1678;1736;1293;1285;966;1540;1358
1891;3289235;426426;981955;746949;5149309;820274;711563;168739;179316;47100;58166;23673;22518;30300;45746;23353;17185;21677;13051
4964;471665;86037;175330;126992;424829;273581;145226;84033;15493;6799;5602;5946;3368;5232;3205;2408;2441;2228;1647
1902;303167;138570;16130244;17065564;249780;47221;87671;30711;14678;9693;16934;6964;6504;5471;9386;2915;3048;4542;7978
1903;1347055;626290;239108;616470;1823575;404170;59916;29233;29909;18941;12105;14629;8465;4794;6738;10391;8500;3977;5513
1904;1259285;326694;764017;971015;1478418;780083;136206;95191;85059;43444;100048;29920;29824;301493;133303;6913444;20586;57803;125306
1905;1126454;531268;831227;590982;410607;223465;316618;46362;18113;19657;16883;15259;15212;7410;9119;8864;5002;8224;7372
4991;668084;188298;97026;149856;136127;98688;558128;32612;13924;10459;5809;5709;4166;4253;3473;3494;3885;2222;1684
4992;141118;29954;24097;192584;54251;30004;21364;11404;7203;5462;1762;2196;1190;2374;2467;1621;1551;1580;1115
6016;1546646;374437;1403510;318332;460488;110543;98358;85166;38189;20871;16948;18179;15181;19873;14209;14249;19856;16200;28430
5015;944200;17623;11445;15632;946930;12357;4539;11950;1300;4851;2242;912;4288;643;1351;906;971;1623;907
5017;456382;103422;138692;310823;198793;340973;59814;22246;13300;4251;8540;6336;5593;6566;3076;1862;1136;1329;963
8095;1562904;796293;736229;888033;1356841;627090;523914;280161;170389;159465;56877;26283;29119;42268;39261;17834;12242;9774;9450
8096;2416884;642641;553833;716653;700946;1434842;417887;106972;123314;61442;26550;29972;17053;12899;17155;13021;12211;10705;12941
1955;3282643;961144;1036843;1962403;1575011;372920;568788;145116;52702;32600;20359;24558;15049;13801;17043;13947;9197;6260;9031
1956;1126153;186543;226141;377315;888097;200315;359712;212791;59943;52574;144218;66339;33062;25874;15013;14450;23358;10058;7997
8105;541313;46488;160493;433852;409235;242005;78421;40229;28447;20672;9451;8200;7047;3640;5821;4055;3488;2703;2860
1962;1994369;739063;595046;1100722;760563;401103;777399;248999;60296;48378;38026;42462;56132;23060;127246;32405;113213;115070;217039
5042;5293242;1239343;1563096;1288716;1103093;482243;2478554;814184;46081;37990;31368;22990;17434;23828;9121;10039;8978;8283;8421
5043;4452435;1175441;1201316;3078373;1881296;1917929;512308;206353;103266;84641;46754;62478;46294;47730;32123;26820;265101;35536;23084
8115;566636;271161;219998;524114;560288;495357;566643;339340;80331;38046;24376;18765;11996;20941;12626;16950;8931;5855;5300
8123;1522023;660481;1588407;1275903;1185519;1261588;303901;134199;20597;10038;7255;7918;7744;2738;4771;5487;5195;5180;1988
8124;1773584;437765;750431;1058806;469430;1502391;1093096;88737;93921;53272;14179871;11004444;16807;14652185;18102948;118095;27939955;16309;11731
8125;393203;82290;162487;241569;80997;106218;102215;89500;29851;20752;27771;8814;10111;9836;4867;11297;3641;3344;3379
8133;878007;39526;367464;437066;919435;205673;314208;280751;53983;33808;59447;17304;14936;11385;14174;10086;4385;5565;4760
8143;6085;7566;17595;9607;15045;6255;8556;5409;1892;1735;1312;862;1118;292;578;393;386;385;264
8144;686946;431887;638254;506892;1545283;853322;211282;648459;26236;348781;13306;12554;6350;7972;4121;2772;5828;2143;3700
8153;1580353;208167;372473;1065004;1266668;878990;939153;270829;274480;135543;53081;76601;21898;20973;34013;46490;20515;15698;34293
8163;648213;58728;369523;354653;790639;970967;300662;67170;66035;54882;12028;14189;10446;12904;10135;11855;6176;6413;5707
8164;558802;337106;1405170;509401;2323789;3619622;109332;317014;46748;53553;14161;14367;11798;5481;7220;10614;12376;5572;6590
8173;2248766;1759024;910078;2077941;2337766;282185;226784;89105;119834;59045;21314;48726;19198;13640;28098;20003;11496;10644;10496
3060;1736138;214840;1185174;1212331;1340851;1495788;855167;18516;11894;35878;12368;9002;7520;3043;4691;9785;3509;3985;3011
8181;1596696;364626;1123814;390853;737236;705855;403364;79454;90806;65177;28683;16800;11397;11307;9116;6195;5080;3264;4299
8182;497845;64232;19491;193932;360129;161725;271173;13665;13627;3465;3875;2715;2497;2714;2907;1811;1954;1658;1582
8183;1893385;992566;1193604;1649220;467540;453184;300364;400132;25073036;21612;36886;10331486;47520;19461;14258;9191;7491;8987;6276
8191;1165700;771343;1288155;2405500;912736;335377;198385;42748;39834;25338;17180;14408;12998;7913;11361;18009;12807;6371;6992
